11,"['14619', '7235', '8755', '1224', '8', '1226', '0', '0', '0', '10857', '6517', '10857', '6517', '219', '1884', '2046', '6923', '6892', '7321', '0', '0', '0', '26', '42', '16', '6550', '2960', '5573', '6465', '6091', '2839', '934', '2158', '9905', '9347', '821', '556', '835', '2360', '1415', '3711', '219', '10036', '10083', '2641', '914', '3494', '6060', '898', '539', '5557', '0', '1364', '9052', '10417', '1', '2', '3', '12429.268904375509', '6066.19974629967', '10925.519525115033', '29420.98817579021', '1639', '43499', '42156', '5234', '1148', '557', '2365', '833', '3198', '1248', '733', '549', '2613.42', '1385.47', '3998.89', '898', '539', '778', '2', '3', '2', '1000', '800', '-10', '2296', '3052', '3188', '743', '3627', '11521', '8520', '2175', '9719', '8130', '11524', '10342', '7772', '0', '100', '100', '1571', '0', '1571', '0', '5984', '6395', '3600', '6397', '6935', '4160', '11694', '2', '0', '1', '2', '7416', '8923', '13258', '5666', '9164', '3577', '0', '0', '0', '6672', '13343', '13343', '6672', '20015', '10008', '10008', '5', '5', '5', '5', '234802724812966899514688', '493490740894090285095785', '728065706307859245027814', '207', '23', '606', '3314', '3314', '0', '0', '0', '1', '6560', '11119', '6560', '11119', '0', '314159', '314159', '1137.119', '5557.554', '4663.164', '1054038763', '895068984', '540423308', '1450317629', '5548.32', '3892.41', '9440.73', '0', '14495', '15301', '812', '0', '0', '0', '6219', '12438', '6219', '12438', '10974', '9899', '9531', '6219', '6219', '6219', '6219', '0', '0', '0', '5986', '2594', '3090505478', '283392003', '3144629171', '2647137083', '16', '31', '16', '1427', '2076', '711', '14647', '5183', '13548', '6218', '6218', '12437', '422', '165', '2852', '359', '2504', '20015', '10007', '4447', '0', '14455', '0', '2842', '6115', '9135', '7654', '102', '1180', '9823', '9842', '28', '787', '774', '0', '0', '0', '1301', '1731', '856', '32832785', '0', '65665570', '32832785', '5602', '1481', '4124', '30', '52', '61', '1896', '3312', '5181', '10858', '18359', '8316', '6219', '12438', '6219', '57', '2', '58', '13918', '9053', '17041', '10906', '11248', '9086', '9294', '0', '18892', '117455', '12', '58', '1580', '1638', '671', '651', '1319', '98', '0', '98', '0', '0', '0', '12340', '7776', '11930', '5', '5', '1', '3270', '1686', '2521', '0', '111', '111', '0', '570', '1282', '1170', '578', '12438', '0', '12438', '0', '970', '892', '1557', '0', '0', '0', '0', '12787', '7104', '7515', '7443', '2048', '4872', '20015', '20015', '10008', '0', '10008', '733', '734', '598', '581', '7100', '7486', '861', '3565', '2704', '19439', '10611', '13170', '3986', '20015', '10008', '20015', '10008', '6295', '11902', '6071', '979', '953', '1286', '2362', '555', '112', '1036', '1579', '6671', '3335', '10007', '0', '3', '705', '1', '887', '5', '592', '314159265', '157079633', '0', '157079633']"
12,"['14619', '7235', '8755', '1224', '8', '1226', '0', '0', '0', '10857', '6517', '10857', '6517', '219', '1884', '2046', '6923', '6892', '7321', '0', '0', '0', '26', '42', '16', '6550', '2960', '5573', '6465', '6091', '2839', '934', '2158', '9905', '9347', '821', '556', '835', '2360', '1415', '3711', '219', '10036', '10083', '2641', '914', '3494', '6060', '898', '539', '5557', '0', '1364', '9052', '10417', '1', '2', '3', '12429.268904375509', '6066.19974629967', '10925.519525115033', '29420.98817579021', '1639', '43499', '42156', '5234', '1148', '557', '2365', '833', '3198', '1248', '733', '549', '2613.42', '1385.47', '3998.89', '898', '539', '778', '2', '3', '2', '1000', '800', '-10', '2296', '3052', '3188', '743', '3627', '11521', '8520', '2175', '9719', '8130', '11524', '10342', '7772', '0', '100', '100', '1571', '0', '1571', '0', '5984', '6395', '3600', '6397', '6935', '4160', '11694', '2', '0', '1', '2', '7416', '8923', '13258', '5666', '9164', '3577', '0', '0', '0', '6672', '13343', '13343', '6672', '20015', '10008', '10008', '5', '5', '5', '5', '234802724812966899514688', '493490740894090285095785', '728065706307859245027814', '207', '23', '606', '3314', '3314', '0', '0', '0', '1', '6560', '11119', '6560', '11119', '0', '314159', '314159', '1137.119', '5557.554', '4663.164', '1054038763', '895068984', '540423308', '1450317629', '5548.32', '3892.41', '9440.73', '0', '14495', '15301', '812', '0', '0', '0', '6219', '12438', '6219', '12438', '10974', '9899', '9531', '6219', '6219', '6219', '6219', '0', '0', '0', '5986', '2594', '3090505478', '283392003', '3144629171', '2647137083', '16', '31', '16', '1427', '2076', '711', '14647', '5183', '13548', '6218', '6218', '12437', '422', '165', '2852', '359', '2504', '20015', '10007', '4447', '0', '14455', '0', '2842', '6115', '9135', '7654', '102', '1180', '9823', '9842', '28', '787', '774', '0', '0', '0', '1301', '1731', '856', '32832785', '0', '65665570', '32832785', '5602', '1481', '4124', '30', '52', '61', '1896', '3312', '5181', '10858', '18359', '8316', '6219', '12438', '6219', '57', '2', '58', '13918', '9053', '17041', '10906', '11248', '9086', '9294', '0', '18892', '117455', '12', '58', '1580', '1638', '671', '651', '1319', '98', '0', '98', '0', '0', '0', '12340', '7776', '11930', '5', '5', '1', '3270', '1686', '2521', '0', '111', '111', '0', '570', '1282', '1170', '578', '12438', '0', '12438', '0', '970', '892', '1557', '0', '0', '0', '0', '12787', '7104', '7515', '7443', '2048', '4872', '20015', '20015', '10008', '0', '10008', '733', '734', '598', '581', '7100', '7486', '861', '3565', '2704', '19439', '10611', '13170', '3986', '20015', '10008', '20015', '10008', '6295', '11902', '6071', '979', '953', '1286', '2362', '555', '112', '1036', '1579', '6671', '3335', '10007', '0', '3', '705', '1', '887', '5', '592', '314159265', '157079633', '0', '157079633']"
13,"['14619', '7235', '8755', '1224', '8', '1226', '0', '0', '0', '10857', '6517', '10857', '6517', '219', '1884', '2046', '6923', '6892', '7321', '0', '0', '0', '26', '42', '16', '6550', '2960', '5573', '6465', '6091', '2839', '934', '2158', '9905', '9347', '821', '556', '835', '2360', '1415', '3711', '219', '10036', '10083', '2641', '914', '3494', '6060', '898', '539', '5557', '0', '1364', '9052', '10417', '1', '2', '3', '12429.268904375509', '6066.19974629967', '10925.519525115033', '29420.98817579021', '1639', '43499', '42156', '5234', '1148', '557', '2365', '833', '3198', '1248', '733', '549', '2613.42', '1385.47', '3998.89', '898', '539', '778', '2', '3', '2', '1000', '800', '-10', '2296', '3052', '3188', '743', '3627', '11521', '8520', '2175', '9719', '8130', '11524', '10342', '7772', '0', '100', '100', '1571', '0', '1571', '0', '5984', '6395', '3600', '6397', '6935', '4160', '11694', '2', '0', '1', '2', '7416', '8923', '13258', '5666', '9164', '3577', '0', '0', '0', '6672', '13343', '13343', '6672', '20015', '10008', '10008', '5', '5', '5', '5', '234802724812966899514688', '493490740894090285095785', '728065706307859245027814', '207', '23', '606', '3314', '3314', '0', '0', '0', '1', '6560', '11119', '6560', '11119', '0', '314159', '314159', '1137.119', '5557.554', '4663.164', '1054038763', '895068984', '540423308', '1450317629', '5548.32', '3892.41', '9440.73', '0', '14495', '15301', '812', '0', '0', '0', '6219', '12438', '6219', '12438', '10974', '9899', '9531', '6219', '6219', '6219', '6219', '0', '0', '0', '5986', '2594', '3090505478', '283392003', '3144629171', '2647137083', '16', '31', '16', '1427', '2076', '711', '14647', '5183', '13548', '6218', '6218', '12437', '422', '165', '2852', '359', '2504', '20015', '10007', '4447', '0', '14455', '0', '2842', '6115', '9135', '7654', '102', '1180', '9823', '9842', '28', '787', '774', '0', '0', '0', '1301', '1731', '856', '32832785', '0', '65665570', '32832785', '5602', '1481', '4124', '30', '52', '61', '1896', '3312', '5181', '10858', '18359', '8316', '6219', '12438', '6219', '57', '2', '58', '13918', '9053', '17041', '10906', '11248', '9086', '9294', '0', '18892', '117455', '12', '58', '1580', '1638', '671', '651', '1319', '98', '0', '98', '0', '0', '0', '12340', '7776', '11930', '5', '5', '1', '3270', '1686', '2521', '0', '111', '111', '0', '570', '1282', '1170', '578', '12438', '0', '12438', '0', '970', '892', '1557', '0', '0', '0', '0', '12787', '7104', '7515', '7443', '2048', '4872', '20015', '20015', '10008', '0', '10008', '733', '734', '598', '581', '7100', '7486', '861', '3565', '2704', '19439', '10611', '13170', '3986', '20015', '10008', '20015', '10008', '6295', '11902', '6071', '979', '953', '1286', '2362', '555', '112', '1036', '1579', '6671', '3335', '10007', '0', '3', '705', '1', '887', '5', '592', '314159265', '157079633', '0', '157079633']"
14,"['14619', '7235', '8755', '1224', '8', '1226', '0', '0', '0', '10857', '6517', '10857', '6517', '219', '1884', '2046', '6923', '6892', '7321', '0', '0', '0', '26', '42', '16', '6550', '2960', '5573', '6465', '6091', '2839', '934', '2158', '9905', '9347', '821', '556', '835', '2360', '1415', '3711', '219', '10036', '10083', '2641', '914', '3494', '6060', '898', '539', '5557', '0', '1364', '9052', '10417', '1', '2', '3', '12429.268904375509', '6066.19974629967', '10925.519525115033', '29420.98817579021', '1639', '43499', '42156', '5234', '1148', '557', '2365', '833', '3198', '1248', '733', '549', '2613.42', '1385.47', '3998.89', '898', '539', '778', '2', '3', '2', '1000', '800', '-10', '2296', '3052', '3188', '743', '3627', '11521', '8520', '2175', '9719', '8130', '11524', '10342', '7772', '0', '100', '100', '1571', '0', '1571', '0', '5984', '6395', '3600', '6397', '6935', '4160', '11694', '2', '0', '1', '2', '7416', '8923', '13258', '5666', '9164', '3577', '0', '0', '0', '6672', '13343', '13343', '6672', '20015', '10008', '10008', '5', '5', '5', '5', '234802724812966899514688', '493490740894090285095785', '728065706307859245027814', '207', '23', '606', '3314', '3314', '0', '0', '0', '1', '6560', '11119', '6560', '11119', '0', '314159', '314159', '1137.119', '5557.554', '4663.164', '1054038763', '895068984', '540423308', '1450317629', '5548.32', '3892.41', '9440.73', '0', '14495', '15301', '812', '0', '0', '0', '6219', '12438', '6219', '12438', '10974', '9899', '9531', '6219', '6219', '6219', '6219', '0', '0', '0', '5986', '2594', '3090505478', '283392003', '3144629171', '2647137083', '16', '31', '16', '1427', '2076', '711', '14647', '5183', '13548', '6218', '6218', '12437', '422', '165', '2852', '359', '2504', '20015', '10007', '4447', '0', '14455', '0', '2842', '6115', '9135', '7654', '102', '1180', '9823', '9842', '28', '787', '774', '0', '0', '0', '1301', '1731', '856', '32832785', '0', '65665570', '32832785', '5602', '1481', '4124', '30', '52', '61', '1896', '3312', '5181', '10858', '18359', '8316', '6219', '12438', '6219', '57', '2', '58', '13918', '9053', '17041', '10906', '11248', '9086', '9294', '0', '18892', '117455', '12', '58', '1580', '1638', '671', '651', '1319', '98', '0', '98', '0', '0', '0', '12340', '7776', '11930', '5', '5', '1', '3270', '1686', '2521', '0', '111', '111', '0', '570', '1282', '1170', '578', '12438', '0', '12438', '0', '970', '892', '1557', '0', '0', '0', '0', '12787', '7104', '7515', '7443', '2048', '4872', '20015', '20015', '10008', '0', '10008', '733', '734', '598', '581', '7100', '7486', '861', '3565', '2704', '19439', '10611', '13170', '3986', '20015', '10008', '20015', '10008', '6295', '11902', '6071', '979', '953', '1286', '2362', '555', '112', '1036', '1579', '6671', '3335', '10007', '0', '3', '705', '1', '887', '5', '592', '314159265', '157079633', '0', '157079633']"
15,"['14619', '7235', '8755', '1224', '8', '1226', '0', '0', '0', '10857', '6517', '10857', '6517', '219', '1884', '2046', '6923', '6892', '7321', '0', '0', '0', '26', '42', '16', '6550', '2960', '5573', '6465', '6091', '2839', '934', '2158', '9905', '9347', '821', '556', '835', '2360', '1415', '3711', '219', '10036', '10083', '2641', '914', '3494', '6060', '898', '539', '5557', '0', '1364', '9052', '10417', '1', '2', '3', '12429.268904375509', '6066.19974629967', '10925.519525115033', '29420.98817579021', '1639', '43499', '42156', '5234', '1148', '557', '2365', '833', '3198', '1248', '733', '549', '2613.42', '1385.47', '3998.89', '898', '539', '778', '2', '3', '2', '1000', '800', '-10', '2296', '3052', '3188', '743', '3627', '11521', '8520', '2175', '9719', '8130', '11524', '10342', '7772', '0', '100', '100', '1571', '0', '1571', '0', '5984', '6395', '3600', '6397', '6935', '4160', '11694', '2', '0', '1', '2', '7416', '8923', '13258', '5666', '9164', '3577', '0', '0', '0', '6672', '13343', '13343', '6672', '20015', '10008', '10008', '5', '5', '5', '5', '234802724812966899514688', '493490740894090285095785', '728065706307859245027814', '207', '23', '606', '3314', '3314', '0', '0', '0', '1', '6560', '11119', '6560', '11119', '0', '314159', '314159', '1137.119', '5557.554', '4663.164', '1054038763', '895068984', '540423308', '1450317629', '5548.32', '3892.41', '9440.73', '0', '14495', '15301', '812', '0', '0', '0', '6219', '12438', '6219', '12438', '10974', '9899', '9531', '6219', '6219', '6219', '6219', '0', '0', '0', '5986', '2594', '3090505478', '283392003', '3144629171', '2647137083', '16', '31', '16', '1427', '2076', '711', '14647', '5183', '13548', '6218', '6218', '12437', '422', '165', '2852', '359', '2504', '20015', '10007', '4447', '0', '14455', '0', '2842', '6115', '9135', '7654', '102', '1180', '9823', '9842', '28', '787', '774', '0', '0', '0', '1301', '1731', '856', '32832785', '0', '65665570', '32832785', '5602', '1481', '4124', '30', '52', '61', '1896', '3312', '5181', '10858', '18359', '8316', '6219', '12438', '6219', '57', '2', '58', '13918', '9053', '17041', '10906', '11248', '9086', '9294', '0', '18892', '117455', '12', '58', '1580', '1638', '671', '651', '1319', '98', '0', '98', '0', '0', '0', '12340', '7776', '11930', '5', '5', '1', '3270', '1686', '2521', '0', '111', '111', '0', '570', '1282', '1170', '578', '12438', '0', '12438', '0', '970', '892', '1557', '0', '0', '0', '0', '12787', '7104', '7515', '7443', '2048', '4872', '20015', '20015', '10008', '0', '10008', '733', '734', '598', '581', '7100', '7486', '861', '3565', '2704', '19439', '10611', '13170', '3986', '20015', '10008', '20015', '10008', '6295', '11902', '6071', '979', '953', '1286', '2362', '555', '112', '1036', '1579', '6671', '3335', '10007', '0', '3', '705', '1', '887', '5', '592', '314159265', '157079633', '0', '157079633']"
16,"['14619', '7235', '8755', '1224', '8', '1226', '0', '0', '0', '10857', '6517', '10857', '6517', '219', '1884', '2046', '6923', '6892', '7321', '0', '0', '0', '26', '42', '16', '6550', '2960', '5573', '6465', '6091', '2839', '934', '2158', '9905', '9347', '821', '556', '835', '2360', '1415', '3711', '219', '10036', '10083', '2641', '914', '3494', '6060', '898', '539', '5557', '0', '1364', '9052', '10417', '1', '2', '3', '12429.268904375509', '6066.19974629967', '10925.519525115033', '29420.98817579021', '1639', '43499', '42156', '5234', '1148', '557', '2365', '833', '3198', '1248', '733', '549', '2613.42', '1385.47', '3998.89', '898', '539', '778', '2', '3', '2', '1000', '800', '-10', '2296', '3052', '3188', '743', '3627', '11521', '8520', '2175', '9719', '8130', '11524', '10342', '7772', '0', '100', '100', '1571', '0', '1571', '0', '5984', '6395', '3600', '6397', '6935', '4160', '11694', '2', '0', '1', '2', '7416', '8923', '13258', '5666', '9164', '3577', '0', '0', '0', '6672', '13343', '13343', '6672', '20015', '10008', '10008', '5', '5', '5', '5', '234802724812966899514688', '493490740894090285095785', '728065706307859245027814', '207', '23', '606', '3314', '3314', '0', '0', '0', '1', '6560', '11119', '6560', '11119', '0', '314159', '314159', '1137.119', '5557.554', '4663.164', '1054038763', '895068984', '540423308', '1450317629', '5548.32', '3892.41', '9440.73', '0', '14495', '15301', '812', '0', '0', '0', '6219', '12438', '6219', '12438', '10974', '9899', '9531', '6219', '6219', '6219', '6219', '0', '0', '0', '5986', '2594', '3090505478', '283392003', '3144629171', '2647137083', '16', '31', '16', '1427', '2076', '711', '14647', '5183', '13548', '6218', '6218', '12437', '422', '165', '2852', '359', '2504', '20015', '10007', '4447', '0', '14455', '0', '2842', '6115', '9135', '7654', '102', '1180', '9823', '9842', '28', '787', '774', '0', '0', '0', '1301', '1731', '856', '32832785', '0', '65665570', '32832785', '5602', '1481', '4124', '30', '52', '61', '1896', '3312', '5181', '10858', '18359', '8316', '6219', '12438', '6219', '57', '2', '58', '13918', '9053', '17041', '10906', '11248', '9086', '9294', '0', '18892', '117455', '12', '58', '1580', '1638', '671', '651', '1319', '98', '0', '98', '0', '0', '0', '12340', '7776', '11930', '5', '5', '1', '3270', '1686', '2521', '0', '111', '111', '0', '570', '1282', '1170', '578', '12438', '0', '12438', '0', '970', '892', '1557', '0', '0', '0', '0', '12787', '7104', '7515', '7443', '2048', '4872', '20015', '20015', '10008', '0', '10008', '733', '734', '598', '581', '7100', '7486', '861', '3565', '2704', '19439', '10611', '13170', '3986', '20015', '10008', '20015', '10008', '6295', '11902', '6071', '979', '953', '1286', '2362', '555', '112', '1036', '1579', '6671', '3335', '10007', '0', '3', '705', '1', '887', '5', '592', '314159265', '157079633', '0', '157079633']"
17,"['14619', '7235', '8755', '1224', '8', '1226', '0', '0', '0', '10857', '6517', '10857', '6517', '219', '1884', '2046', '6923', '6892', '7321', '0', '0', '0', '26', '42', '16', '6550', '2960', '5573', '6465', '6091', '2839', '934', '2158', '9905', '9347', '821', '556', '835', '2360', '1415', '3711', '219', '10036', '10083', '2641', '914', '3494', '6060', '898', '539', '5557', '0', '1364', '9052', '10417', '1', '2', '3', '12429.268904375509', '6066.19974629967', '10925.519525115033', '29420.98817579021', '1639', '43499', '42156', '5234', '1148', '557', '2365', '833', '3198', '1248', '733', '549', '2613.42', '1385.47', '3998.89', '898', '539', '778', '2', '3', '2', '1000', '800', '-10', '2296', '3052', '3188', '743', '3627', '11521', '8520', '2175', '9719', '8130', '11524', '10342', '7772', '0', '100', '100', '1571', '0', '1571', '0', '5984', '6395', '3600', '6397', '6935', '4160', '11694', '2', '0', '1', '2', '7416', '8923', '13258', '5666', '9164', '3577', '0', '0', '0', '6672', '13343', '13343', '6672', '20015', '10008', '10008', '5', '5', '5', '5', '234802724812966899514688', '493490740894090285095785', '728065706307859245027814', '207', '23', '606', '3314', '3314', '0', '0', '0', '1', '6560', '11119', '6560', '11119', '0', '314159', '314159', '1137.119', '5557.554', '4663.164', '1054038763', '895068984', '540423308', '1450317629', '5548.32', '3892.41', '9440.73', '0', '14495', '15301', '812', '0', '0', '0', '6219', '12438', '6219', '12438', '10974', '9899', '9531', '6219', '6219', '6219', '6219', '0', '0', '0', '5986', '2594', '3090505478', '283392003', '3144629171', '2647137083', '16', '31', '16', '1427', '2076', '711', '14647', '5183', '13548', '6218', '6218', '12437', '422', '165', '2852', '359', '2504', '20015', '10007', '4447', '0', '14455', '0', '2842', '6115', '9135', '7654', '102', '1180', '9823', '9842', '28', '787', '774', '0', '0', '0', '1301', '1731', '856', '32832785', '0', '65665570', '32832785', '5602', '1481', '4124', '30', '52', '61', '1896', '3312', '5181', '10858', '18359', '8316', '6219', '12438', '6219', '57', '2', '58', '13918', '9053', '17041', '10906', '11248', '9086', '9294', '0', '18892', '117455', '12', '58', '1580', '1638', '671', '651', '1319', '98', '0', '98', '0', '0', '0', '12340', '7776', '11930', '5', '5', '1', '3270', '1686', '2521', '0', '111', '111', '0', '570', '1282', '1170', '578', '12438', '0', '12438', '0', '970', '892', '1557', '0', '0', '0', '0', '12787', '7104', '7515', '7443', '2048', '4872', '20015', '20015', '10008', '0', '10008', '733', '734', '598', '581', '7100', '7486', '861', '3565', '2704', '19439', '10611', '13170', '3986', '20015', '10008', '20015', '10008', '6295', '11902', '6071', '979', '953', '1286', '2362', '555', '112', '1036', '1579', '6671', '3335', '10007', '0', '3', '705', '1', '887', '5', '592', '314159265', '157079633', '0', '157079633']"
18,"['14619', '7235', '8755', '1224', '8', '1226', '0', '0', '0', '10857', '6517', '10857', '6517', '219', '1884', '2046', '6923', '6892', '7321', '0', '0', '0', '26', '42', '16', '6550', '2960', '5573', '6465', '6091', '2839', '934', '2158', '9905', '9347', '821', '556', '835', '2360', '1415', '3711', '219', '10036', '10083', '2641', '914', '3494', '6060', '898', '539', '5557', '0', '1364', '9052', '10417', '1', '2', '3', '12429.268904375509', '6066.19974629967', '10925.519525115033', '29420.98817579021', '1639', '43499', '42156', '5234', '1148', '557', '2365', '833', '3198', '1248', '733', '549', '2613.42', '1385.47', '3998.89', '898', '539', '778', '2', '3', '2', '1000', '800', '-10', '2296', '3052', '3188', '743', '3627', '11521', '8520', '2175', '9719', '8130', '11524', '10342', '7772', '0', '100', '100', '1571', '0', '1571', '0', '5984', '6395', '3600', '6397', '6935', '4160', '11694', '2', '0', '1', '2', '7416', '8923', '13258', '5666', '9164', '3577', '0', '0', '0', '6672', '13343', '13343', '6672', '20015', '10008', '10008', '5', '5', '5', '5', '234802724812966899514688', '493490740894090285095785', '728065706307859245027814', '207', '23', '606', '3314', '3314', '0', '0', '0', '1', '6560', '11119', '6560', '11119', '0', '314159', '314159', '1137.119', '5557.554', '4663.164', '1054038763', '895068984', '540423308', '1450317629', '5548.32', '3892.41', '9440.73', '0', '14495', '15301', '812', '0', '0', '0', '6219', '12438', '6219', '12438', '10974', '9899', '9531', '6219', '6219', '6219', '6219', '0', '0', '0', '5986', '2594', '3090505478', '283392003', '3144629171', '2647137083', '16', '31', '16', '1427', '2076', '711', '14647', '5183', '13548', '6218', '6218', '12437', '422', '165', '2852', '359', '2504', '20015', '10007', '4447', '0', '14455', '0', '2842', '6115', '9135', '7654', '102', '1180', '9823', '9842', '28', '787', '774', '0', '0', '0', '1301', '1731', '856', '32832785', '0', '65665570', '32832785', '5602', '1481', '4124', '30', '52', '61', '1896', '3312', '5181', '10858', '18359', '8316', '6219', '12438', '6219', '57', '2', '58', '13918', '9053', '17041', '10906', '11248', '9086', '9294', '0', '18892', '117455', '12', '58', '1580', '1638', '671', '651', '1319', '98', '0', '98', '0', '0', '0', '12340', '7776', '11930', '5', '5', '1', '3270', '1686', '2521', '0', '111', '111', '0', '570', '1282', '1170', '578', '12438', '0', '12438', '0', '970', '892', '1557', '0', '0', '0', '0', '12787', '7104', '7515', '7443', '2048', '4872', '20015', '20015', '10008', '0', '10008', '733', '734', '598', '581', '7100', '7486', '861', '3565', '2704', '19439', '10611', '13170', '3986', '20015', '10008', '20015', '10008', '6295', '11902', '6071', '979', '953', '1286', '2362', '555', '112', '1036', '1579', '6671', '3335', '10007', '0', '3', '705', '1', '887', '5', '592', '314159265', '157079633', '0', '157079633']"
19,"['14619', '7235', '8755', '1224', '8', '1226', '0', '0', '0', '10857', '6517', '10857', '6517', '219', '1884', '2046', '6923', '6892', '7321', '0', '0', '0', '26', '42', '16', '6550', '2960', '5573', '6465', '6091', '2839', '934', '2158', '9905', '9347', '821', '556', '835', '2360', '1415', '3711', '219', '10036', '10083', '2641', '914', '3494', '6060', '898', '539', '5557', '0', '1364', '9052', '10417', '1', '2', '3', '12429.268904375509', '6066.19974629967', '10925.519525115033', '29420.98817579021', '1639', '43499', '42156', '5234', '1148', '557', '2365', '833', '3198', '1248', '733', '549', '2613.42', '1385.47', '3998.89', '898', '539', '778', '2', '3', '2', '1000', '800', '-10', '2296', '3052', '3188', '743', '3627', '11521', '8520', '2175', '9719', '8130', '11524', '10342', '7772', '0', '100', '100', '1571', '0', '1571', '0', '5984', '6395', '3600', '6397', '6935', '4160', '11694', '2', '0', '1', '2', '7416', '8923', '13258', '5666', '9164', '3577', '0', '0', '0', '6672', '13343', '13343', '6672', '20015', '10008', '10008', '5', '5', '5', '5', '234802724812966899514688', '493490740894090285095785', '728065706307859245027814', '207', '23', '606', '3314', '3314', '0', '0', '0', '1', '6560', '11119', '6560', '11119', '0', '314159', '314159', '1137.119', '5557.554', '4663.164', '1054038763', '895068984', '540423308', '1450317629', '5548.32', '3892.41', '9440.73', '0', '14495', '15301', '812', '0', '0', '0', '6219', '12438', '6219', '12438', '10974', '9899', '9531', '6219', '6219', '6219', '6219', '0', '0', '0', '5986', '2594', '3090505478', '283392003', '3144629171', '2647137083', '16', '31', '16', '1427', '2076', '711', '14647', '5183', '13548', '6218', '6218', '12437', '422', '165', '2852', '359', '2504', '20015', '10007', '4447', '0', '14455', '0', '2842', '6115', '9135', '7654', '102', '1180', '9823', '9842', '28', '787', '774', '0', '0', '0', '1301', '1731', '856', '32832785', '0', '65665570', '32832785', '5602', '1481', '4124', '30', '52', '61', '1896', '3312', '5181', '10858', '18359', '8316', '6219', '12438', '6219', '57', '2', '58', '13918', '9053', '17041', '10906', '11248', '9086', '9294', '0', '18892', '117455', '12', '58', '1580', '1638', '671', '651', '1319', '98', '0', '98', '0', '0', '0', '12340', '7776', '11930', '5', '5', '1', '3270', '1686', '2521', '0', '111', '111', '0', '570', '1282', '1170', '578', '12438', '0', '12438', '0', '970', '892', '1557', '0', '0', '0', '0', '12787', '7104', '7515', '7443', '2048', '4872', '20015', '20015', '10008', '0', '10008', '733', '734', '598', '581', '7100', '7486', '861', '3565', '2704', '19439', '10611', '13170', '3986', '20015', '10008', '20015', '10008', '6295', '11902', '6071', '979', '953', '1286', '2362', '555', '112', '1036', '1579', '6671', '3335', '10007', '0', '3', '705', '1', '887', '5', '592', '314159265', '157079633', '0', '157079633']"
20,"['14619', '7235', '8755', '1224', '8', '1226', '0', '0', '0', '10857', '6517', '10857', '6517', '219', '1884', '2046', '6923', '6892', '7321', '0', '0', '0', '26', '42', '16', '6550', '2960', '5573', '6465', '6091', '2839', '934', '2158', '9905', '9347', '821', '556', '835', '2360', '1415', '3711', '219', '10036', '10083', '2641', '914', '3494', '6069', '899', '539', '5567', '0', '1364', '9052', '10417', '1', '2', '3', '12429.268904375509', '6066.19974629967', '10925.519525115033', '29420.98817579021', '1639', '43499', '42156', '5234', '1148', '557', '2365', '833', '3198', '1248', '733', '549', '2613.42', '1385.47', '3998.89', '899', '539', '778', '2', '3', '2', '1000', '800', '-10', '2296', '3052', '3188', '743', '3629', '11497', '8494', '2175', '9719', '8130', '11524', '10342', '7772', '0', '100', '100', '1571', '0', '1571', '0', '5984', '6395', '3600', '6397', '6935', '4160', '11694', '2', '0', '1', '2', '7416', '8923', '13258', '5666', '9164', '3577', '0', '0', '0', '6672', '13343', '13343', '6672', '20015', '10008', '10008', '5', '5', '5', '5', '234802724812966899514688', '493490740894090285095785', '728065706307859245027814', '207', '23', '606', '3314', '3314', '0', '0', '0', '1', '6560', '11119', '6560', '11119', '0', '314159', '314159', '1137.119', '5557.554', '4663.164', '1054038763', '895068984', '540423308', '1450317629', '5548.32', '3892.41', '9440.73', '0', '14495', '15301', '812', '0', '0', '0', '6219', '12438', '6219', '12438', '10974', '9899', '9531', '6219', '6219', '6219', '6219', '0', '0', '0', '5986', '2594', '3090505478', '283392003', '3144629171', '2647137083', '16', '31', '16', '1427', '2076', '711', '14647', '5183', '13548', '6218', '6218', '12437', '422', '165', '2852', '359', '2504', '20015', '10007', '4447', '0', '14455', '0', '2842', '6115', '9135', '7654', '102', '1180', '9823', '9842', '28', '787', '774', '0', '0', '0', '1301', '1731', '856', '32832785', '0', '65665570', '32832785', '5602', '1481', '4124', '30', '52', '61', '1896', '3312', '5181', '10858', '18359', '8316', '6219', '12438', '6219', '57', '2', '58', '13918', '9053', '17041', '10906', '11248', '9086', '9294', '0', '18892', '117455', '12', '58', '1580', '1638', '671', '651', '1319', '98', '0', '98', '0', '0', '0', '12340', '7776', '11930', '5', '5', '1', '3270', '1686', '2521', '0', '111', '111', '0', '570', '1282', '1170', '578', '12438', '0', '12438', '0', '970', '892', '1557', '0', '0', '0', '0', '12787', '7104', '7515', '7443', '2048', '4872', '20015', '20015', '10008', '0', '10008', '733', '734', '598', '581', '7100', '7486', '861', '3565', '2704', '19439', '10611', '13170', '3986', '20015', '10008', '20015', '10008', '6295', '11902', '6071', '979', '953', '1286', '2362', '555', '112', '1036', '1579', '6671', '3335', '10007', '0', '3', '705', '1', '887', '5', '592', '314159265', '157079633', '0', '157079633']"
